Date,BUSG Index,BUHY Index,BUSC Index,BMBS Index,CRY Index,SPX Index,BGER Index,BERC Index,BEUH Index,DAX Index,BJPN Index,BJPY Index,NKY Index,BRIT Index,BGBP Index,BGBH Index,UKX Index,BAUS Index,BAUD Index,AS51 Index,BEMS Index,BIEM Index,BEAC Index,VEIEX US Equity,BCGB Index,SHSZ300 Index
2/13/2015,-0.002569139,0.001384419,-0.002100394,-0.002050136,0.01358594,0.004066455,-0.001849219,-0.000261785,0.001928916,0.003998534,-0.001911773,-0.000492115,-0.003697653,-0.002253188,-0.001369691,0.000729872,0.006628433,-0.000668393,-4.79565E-05,0.02304457,0.002657024,0.002561153,0.004544015,0.010687125,0.000389522,0.007798437
2/16/2015,0.00018841,0.000530951,0.000332315,0,0,0,0.00194567,0.00123353,0.000947589,-0.003670738,-0.003699909,-0.000585282,0.00508992,0.001116765,0.000456772,0.000781415,-0.002399028,-0.001763638,-1.37023E-05,0.00190292,0.000463743,0.000396212,0.000345971,0,0.001143344,0.008510218
2/17/2015,-0.004498743,0.001061057,-0.005475576,-0.000186585,-0.001721891,0.001596253,-0.004632754,-0.001974379,0.000334229,-0.002530841,0.004531175,0.001160939,-0.000982444,-0.011097196,-0.00816969,-0.001331666,0.00597304,-0.003298603,-0.001453509,-0.00518454,-0.002327702,-0.000778165,0.002263505,-0.001139601,0.000631927,0.006505188
2/18/2015,0.002851006,0.001497971,0.003863542,-0.001307068,-0.006666099,-0.000314284,-0.000581538,0.000935324,0.001527365,0.005982645,-0.001180068,-0.000241364,0.01172171,-0.005361071,-0.005396843,-0.000509976,-7.24837E-06,0.005514848,0.002227394,0.009762862,-0.002298883,0.002318299,0.00451871,0.001139601,0.000105282,0
2/19/2015,-0.001666893,0.000222215,-0.00074545,0.000373622,-0.00450424,-0.001062631,-0.001320901,-2.24375E-05,0.001043696,0.003728103,0.002144543,0.000408428,0.003599174,0.00166515,0.001719747,0.001482846,-0.001331691,-0.001909302,-6.16149E-05,-0.001938255,0.000383514,-0.000532301,-0.001199718,-0.002280503,9.71739E-05,0
2/20/2015,-0.000295897,0.000594509,0.000383651,0.000560172,-0.00663489,0.006107796,-0.00017924,0.000448655,0.001153591,0.004416724,0.000374823,0.0002691,0.003689369,0.007174406,0.005717695,0.001445973,0.003810467,0.000627545,0.000793857,-0.003850751,-0.000198587,-0.000273454,-0.001180074,0.002660081,0.000105261,0
2/23/2015,0.003159923,0.000705113,0.003677019,0.001492259,-0.012502326,-0.00030332,0.000933188,0.000754782,0.001915597,0.007238477,0.000517381,0.000222649,0.007316492,-0.003090605,-0.002351913,0.001316907,-0.000439708,0.001601939,0.000622326,0.004485857,-0.000719353,-7.91717E-05,-0.002674363,-0.004945797,0.000307623,0
2/24/2015,0.004586658,0.001571656,0.005644472,0.001490036,0.001302959,0.00275494,-2.98485E-05,0.000164332,0.002059328,0.006699326,0.000650807,0.00013913,0.007367637,0.007453259,0.005846873,0.001960593,0.005406241,0.001363109,0.000375944,0.003212347,0.003031477,0.003327001,0.002238507,0.00873368,0.000105218,0
2/25/2015,0.000962079,0.001647259,0.001619143,0.002230899,0.007589867,-0.000766077,0.002824198,0.001254012,0.00100047,0.000404175,0.002838977,0.000797308,-0.000983095,0.000811512,0.001668874,0.00163473,-0.002052574,0.001555567,0.000314317,0.003018223,0.003764556,0.0005594,0.002015995,-0.00075643,0.000711951,-0.012453434
2/26/2015,-0.004336665,0.00161857,-0.004218114,0.000185684,-0.013468411,-0.001477063,0.001316225,0.000358001,0.001722389,0.010375708,-0.000906884,0.000129734,0.010735168,-0.001623684,-0.001475425,0.00098875,0.002066963,0.000235901,0.000826319,-0.006143912,0.001482832,0.000157723,0.001367438,-0.001135718,-0.000364003,0.024860245
