,CURRENCY_SHORT,CURRENCY_LONG,DAYS,RETURNS,RETURNS_ANNUALIZED
0,JPY,JPY,60.0,-0.356800240331,-2.17053479535
0,CLP,CLP,45.0,-0.321323470241,-2.60629036973
0,CLP,CLP,60.0,-0.565532310719,-3.44032155687
0,JPY,JPY,2.0,-0.0229459330825,-4.18763278756
0,JPY,EUR,30.0,-0.352078509094,-4.28362186064
0,COP,COP,10.0,-0.118198059058,-4.31422915562
0,JPY,JPY,45.0,-0.5363839398,-4.35066973393
0,CLP,CLP,90.0,-1.25157045047,-5.07581349357
0,CLP,USD,15.0,-0.221508044099,-5.39002907308
0,EUR,JPY,15.0,-0.25998855788,-6.32638824176
0,COP,COP,15.0,-0.26336424057,-6.40852985387
0,BRL,BRL,45.0,-0.843465783555,-6.84144468884
0,JPY,JPY,10.0,-0.200434222039,-7.31584910442
0,JPY,JPY,15.0,-0.304491982753,-7.40930491366
0,MXN,JPY,60.0,-1.23039043021,-7.4848751171
0,JPY,JPY,30.0,-0.617067898834,-7.50765943581
0,EUR,AUD,15.0,-0.310727568178,-7.56103749234
0,JPY,AUD,15.0,-0.355230993051,-8.64395416424
0,MXN,MXN,90.0,-2.27990053775,-9.24626329199
0,JPY,MXN,60.0,-1.80877826982,-11.0034011414
0,JPY,EUR,2.0,-0.0603635524685,-11.0163483255
0,MXN,EUR,90.0,-2.77651267154,-11.2603013901
0,BRL,BRL,60.0,-1.88055603723,-11.4400492265
0,EUR,JPY,10.0,-0.326569381541,-11.9197824263
0,COP,COP,30.0,-1.03414673439,-12.5821186018
0,COP,COP,45.0,-1.57527132166,-12.7772007201
0,COP,COP,90.0,-3.15175529535,-12.7821186978
0,COP,COP,60.0,-2.10263549654,-12.7910326039
0,USD,CLP,10.0,-0.363812593795,-13.2791596735
0,AUD,JPY,10.0,-0.36724773431,-13.4045423023
0,CLP,EUR,30.0,-1.16460521586,-14.1693634597
0,AUD,USD,60.0,-2.33828869123,-14.2245895383
0,JPY,EUR,45.0,-1.80444824244,-14.6360801887
0,USD,USD,2.0,-0.0821917808219,-15.0
0,BRL,BRL,90.0,-3.97391906569,-16.1164495442
0,MXN,MXN,60.0,-2.6823684597,-16.3177414632
0,AUD,USD,45.0,-2.08775385216,-16.9340034675
0,JPY,MXN,90.0,-4.27585163914,-17.3409538698
0,CLP,JPY,30.0,-1.4295946056,-17.3934010349
0,USD,JPY,2.0,-0.0974349433645,-17.781877164
0,EUR,AUD,30.0,-1.48237719775,-18.0355892393
0,JPY,EUR,90.0,-4.77246377293,-19.354991968
0,AUD,USD,30.0,-1.71513632088,-20.867491904
0,JPY,EUR,60.0,-3.52690766157,-21.4553549412
0,MXN,MXN,45.0,-2.64557788181,-21.4585761525
0,AUD,CLP,15.0,-0.929020770959,-22.6061720933
0,EUR,CLP,2.0,-0.123994669088,-22.6290271086
0,JPY,AUD,30.0,-2.01752866974,-24.5465988152
0,USD,EUR,2.0,-0.13485256275,-24.610592702
0,MXN,EUR,60.0,-4.40049785144,-26.769695263
0,AUD,USD,15.0,-1.10380421037,-26.8592357857
0,JPY,USD,10.0,-0.745498748931,-27.210704336
0,EUR,AUD,45.0,-3.58732822309,-29.0972178095
0,MXN,JPY,45.0,-3.65280956738,-29.6283442688
0,EUR,USD,10.0,-0.871633908433,-31.8146376578
0,AUD,USD,10.0,-0.912312261202,-33.2993975339
0,EUR,CLP,15.0,-1.41334424668,-34.3913766693
0,CLP,AUD,30.0,-2.83005537652,-34.4323404143
0,EUR,AUD,60.0,-5.70009115788,-34.6755545438
0,JPY,CLP,15.0,-1.45784767156,-35.4742933412
0,BRL,CLP,90.0,-9.1502116032,-37.1091915019
0,JPY,CLP,2.0,-0.20566125724,-37.5331794462
0,EUR,AUD,90.0,-9.40188158022,-38.1298530753
0,EUR,USD,15.0,-1.5881276861,-38.6444403617
0,JPY,USD,15.0,-1.63263111097,-39.7273570336
0,MXN,EUR,45.0,-4.92087387002,-39.9137547235
0,EUR,USD,90.0,-9.87761526472,-40.0592174625
0,JPY,CLP,10.0,-1.10931134273,-40.4898640095
0,CLP,MXN,45.0,-5.15158357638,-41.7850667862
0,EUR,USD,30.0,-3.50224778807,-42.6106814215
0,EUR,CLP,10.0,-1.23544650223,-45.0937973313
0,JPY,AUD,45.0,-5.61190783424,-45.5188079889
0,AUD,CLP,10.0,-1.276124855,-46.5785572074
0,JPY,USD,30.0,-4.03739926006,-49.1216909974
0,EUR,USD,45.0,-6.1184561582,-49.6274777276
0,CLP,JPY,45.0,-6.15881526195,-49.9548349025
0,MXN,AUD,90.0,-12.5229547153,-50.7875385674
0,USD,CLP,2.0,-0.280150267522,-51.1274238227
0,EUR,USD,60.0,-8.62954529305,-52.4964005327
0,MXN,USD,90.0,-12.9986883998,-52.7169029546
0,JPY,AUD,60.0,-9.47819711521,-57.6590324509
0,JPY,AUD,90.0,-14.5189058166,-58.8822291453
0,CLP,USD,30.0,-4.84992596683,-59.0074325965
0,CLP,EUR,45.0,-7.42687956459,-60.2402453572
0,JPY,USD,90.0,-14.9946395012,-60.8115935324
0,AUD,USD,2.0,-0.345014362157,-62.9651210936
0,MXN,AUD,60.0,-10.3517873051,-62.9733727726
0,AUD,JPY,2.0,-0.360257524699,-65.7469982576
0,JPY,USD,45.0,-8.14303576935,-66.049067907
0,MXN,AUD,45.0,-8.72833346183,-70.7964825237
0,AUD,EUR,2.0,-0.397675144085,-72.5757137955
0,JPY,USD,60.0,-12.4076512504,-75.4798784398
0,MXN,USD,60.0,-13.2812414403,-80.7942187616
0,CLP,JPY,60.0,-14.9627398534,-91.023334108
0,CLP,AUD,45.0,-11.2343391564,-91.1229731574
0,MXN,USD,45.0,-11.2594613969,-91.3267424418
0,AUD,CLP,2.0,-0.542972848856,-99.0925449163
0,CLP,MXN,60.0,-16.4147178829,-99.8562004541
0,CLP,EUR,60.0,-18.1328472746,-110.308154254
0,CLP,USD,45.0,-13.7654670915,-111.653233076
0,CLP,AUD,60.0,-24.0841367283,-146.511831764
0,BRL,CLP,60.0,-24.7291408851,-150.435607051
0,CLP,USD,60.0,-27.0135908634,-164.332677752
0,CLP,JPY,90.0,-50.6847386705,-205.554773497
0,CLP,MXN,90.0,-54.5815431865,-221.358480701
0,BRL,CLP,45.0,-27.4821351525,-222.910651793
0,CLP,EUR,90.0,-55.0781553203,-223.372518799
0,BRL,JPY,90.0,-58.5833798232,-237.588151505
0,BRL,JPY,60.0,-39.1263484277,-238.018619602
0,BRL,MXN,60.0,-40.5783264572,-246.851485948
0,BRL,MXN,90.0,-62.4801843392,-253.391858709
0,BRL,EUR,90.0,-62.976796473,-255.405896807
0,BRL,EUR,60.0,-42.2964558489,-257.303439748
0,BRL,MXN,45.0,-32.3123952587,-262.089428209
0,CLP,AUD,90.0,-64.824597364,-262.899755976
0,CLP,USD,90.0,-65.3003310485,-264.829120363
0,BRL,JPY,45.0,-33.3196269442,-270.259196326
0,BRL,EUR,45.0,-34.5876912469,-280.54460678
0,BRL,AUD,60.0,-48.2477453026,-293.507117257
0,BRL,AUD,90.0,-72.7232385167,-294.933133984
0,BRL,USD,90.0,-73.1989722012,-296.862498372
0,BRL,USD,60.0,-51.1771994378,-311.327963246
0,BRL,AUD,45.0,-38.3951508387,-311.42733458
0,BRL,USD,45.0,-40.9262787738,-331.957594499
0,COP,BRL,45.0,-45.2325644133,-366.886355797
0,COP,BRL,60.0,-63.5555166353,-386.629392865
0,COP,BRL,90.0,-96.1694777456,-390.020659746
0,COP,CLP,90.0,-101.345770283,-411.013401704
0,COP,CLP,60.0,-86.4041014831,-525.624950689
0,COP,CLP,45.0,-71.8712337823,-582.955562901
0,COP,JPY,90.0,-150.778938503,-611.492361707
0,COP,JPY,60.0,-100.801309026,-613.20796324
0,COP,MXN,60.0,-102.253287055,-622.040829586
0,COP,MXN,45.0,-76.7014938884,-622.134339317
0,COP,AUD,2.0,-3.42609471212,-625.262284962
0,COP,MXN,90.0,-154.675743019,-627.296068911
0,COP,EUR,90.0,-155.172355153,-629.310107009
0,COP,JPY,45.0,-77.708725574,-630.304107434
0,COP,EUR,60.0,-103.971416447,-632.492783386
0,COP,CLP,30.0,-52.610434508,-640.093619847
0,COP,EUR,45.0,-78.9767898766,-640.589517888
0,COP,EUR,30.0,-53.6281371627,-652.475668813
0,COP,EUR,15.0,-26.8286737197,-652.831060513
0,COP,AUD,10.0,-17.9472109059,-655.073198065
0,COP,JPY,30.0,-53.8931265525,-655.699706388
0,COP,EUR,10.0,-18.0346922098,-658.266265657
0,COP,JPY,15.0,-27.2107109195,-662.127299041
0,COP,AUD,15.0,-27.2614499298,-663.361948292
0,COP,AUD,60.0,-109.922705901,-668.696460896
0,COP,AUD,90.0,-164.918797197,-668.837344186
0,COP,USD,90.0,-165.394530881,-670.766708574
0,COP,AUD,45.0,-82.7842494684,-671.472245689
0,COP,AUD,30.0,-55.2935873234,-672.738645768
0,COP,JPY,10.0,-18.4629687929,-673.898360942
0,COP,USD,60.0,-112.852160036,-686.517306885
0,COP,CLP,15.0,-28.3640666083,-690.192287469
0,COP,USD,45.0,-85.3153774036,-692.002505607
0,COP,USD,10.0,-19.0080333198,-693.793216173
0,COP,USD,15.0,-28.5388500477,-694.445351161
0,COP,USD,2.0,-3.81871331265,-696.915179558
0,COP,USD,30.0,-57.3134579137,-697.31373795
0,COP,JPY,2.0,-3.83395647519,-699.697056722
0,COP,EUR,2.0,-3.87137409457,-706.52577226
0,COP,CLP,10.0,-19.3718459136,-707.072375847
0,COP,CLP,2.0,-4.01667179934,-733.04260338
0,CLP,BRL,2.0,,
0,CLP,MXN,2.0,,
0,COP,BRL,2.0,,
0,COP,MXN,2.0,,
0,BRL,CLP,2.0,,
0,BRL,COP,2.0,,
0,BRL,BRL,2.0,,
0,BRL,MXN,2.0,,
0,BRL,USD,2.0,,
0,BRL,JPY,2.0,,
0,BRL,EUR,2.0,,
0,BRL,AUD,2.0,,
0,MXN,CLP,2.0,,
0,MXN,COP,2.0,,
0,MXN,BRL,2.0,,
0,MXN,MXN,2.0,,
0,MXN,USD,2.0,,
0,MXN,JPY,2.0,,
0,MXN,EUR,2.0,,
0,MXN,AUD,2.0,,
0,USD,BRL,2.0,,
0,USD,MXN,2.0,,
0,JPY,BRL,2.0,,
0,JPY,MXN,2.0,,
0,EUR,BRL,2.0,,
0,EUR,MXN,2.0,,
0,AUD,BRL,2.0,,
0,AUD,MXN,2.0,,
0,CLP,BRL,10.0,,
0,CLP,MXN,10.0,,
0,COP,BRL,10.0,,
0,COP,MXN,10.0,,
0,BRL,CLP,10.0,,
0,BRL,COP,10.0,,
0,BRL,BRL,10.0,,
0,BRL,MXN,10.0,,
0,BRL,USD,10.0,,
0,BRL,JPY,10.0,,
0,BRL,EUR,10.0,,
0,BRL,AUD,10.0,,
0,MXN,CLP,10.0,,
0,MXN,COP,10.0,,
0,MXN,BRL,10.0,,
0,MXN,MXN,10.0,,
0,MXN,USD,10.0,,
0,MXN,JPY,10.0,,
0,MXN,EUR,10.0,,
0,MXN,AUD,10.0,,
0,USD,BRL,10.0,,
0,USD,MXN,10.0,,
0,JPY,BRL,10.0,,
0,JPY,MXN,10.0,,
0,EUR,BRL,10.0,,
0,EUR,MXN,10.0,,
0,AUD,BRL,10.0,,
0,AUD,MXN,10.0,,
0,CLP,BRL,15.0,,
0,CLP,MXN,15.0,,
0,COP,BRL,15.0,,
0,COP,MXN,15.0,,
0,BRL,CLP,15.0,,
0,BRL,COP,15.0,,
0,BRL,BRL,15.0,,
0,BRL,MXN,15.0,,
0,BRL,USD,15.0,,
0,BRL,JPY,15.0,,
0,BRL,EUR,15.0,,
0,BRL,AUD,15.0,,
0,MXN,CLP,15.0,,
0,MXN,COP,15.0,,
0,MXN,BRL,15.0,,
0,MXN,MXN,15.0,,
0,MXN,USD,15.0,,
0,MXN,JPY,15.0,,
0,MXN,EUR,15.0,,
0,MXN,AUD,15.0,,
0,USD,BRL,15.0,,
0,USD,MXN,15.0,,
0,JPY,BRL,15.0,,
0,JPY,MXN,15.0,,
